site_no,tau,estimates,S,sl,p.value
01550000,-0.07428572,-4.2912775969039e-4,-91,0.45154774,0.451547750080907
01551500,-0.07428572,-2.8182513296025e-4,-91,0.45154774,0.451547750080907
01552500,-0.1102041,-8.72886898145726e-4,-135,0.2623343,0.262334287449941
01553500,-0.06938776,-2.08734428735872e-4,-85,0.48227507,0.482275108504501
01554000,-0.0644898,-1.75198871726861e-4,-79,0.5141052,0.514105174538706
01555000,-0.1053061,-4.34350160630923e-4,-129,0.2843035,0.284303535743958
01555500,-0.09061225,-5.57248667303414e-4,-111,0.35750252,0.357502553590208
01556000,0.0677551,2.28917986690821e-4,83,0.4927646,0.49276460624325
01557500,0.1363265,6.40149242366999e-4,167,0.1649647,0.164964643698312
01558000,-0.02530612,-5.94476981332583e-5,-31,0.80185604,0.801856065566224
01559000,0.03346939,1.58317835250949e-4,41,0.73793113,0.737931137172418
01560000,0.08734694,4.86502801556481e-4,107,0.37525392,0.375253943032718
01562000,-0.09877551,-4.81556920480815e-4,-121,0.31548327,0.315483252916377
01563200,-0.03020408,-1.50488624714314e-4,-37,0.76331162,0.763311644610786
01563500,8.163265e-4,5.1924038565446e-7,1,1,1
01564500,-0.20653062,-0.00103343087294536,-253,0.03503581,0.0350358200268029
01567000,0.02204082,5.47301132309587e-5,27,0.82782936,0.827829380976393
01567500,-0.1020408,-9.84180265458311e-4,-125,0.2996229,0.299622919484759
01568000,0.01714286,1.38999509082235e-4,21,0.86713624,0.867136242289505
01570000,-0.1183673,-4.18900698553143e-4,-145,0.228381,0.228381117309063
01571500,0.04816326,1.25341443489496e-4,59,0.62756157,0.627561611989235
01573000,0.02367347,1.0145845836775e-4,29,0.81481719,0.814817280649534
01574000,-0.1020408,-4.94986467054193e-4,-125,0.2996229,0.299622919484759
01574500,0.03510204,1.70737503197818e-4,43,0.72534525,0.725345271990754
